# جدولُ أدوار حروف «سألتمونيها» في فضاء الـ١١٢ — مسوّدةٌ **غيرُ موقَّعة**
# التوقيع: — (غيرُ موقَّعة) | الصائغ: الآلة (مسوّدة) | الحال: DRAFT
# يُقاس أثرُه ولا تُنقَل عنه حالُ مستوى «الكلمة المفردة» حتّى يُوقَّع.
#
# الحروفُ تسعةٌ لا عشرة: الطيُّ في run_cv_peel يجمع أسرة الألف (ا ء أ إ آ ؤ ئ ى)
# في «ا»، فتقع همزةُ «سألتمونيها» وألفُها في وحدةٍ واحدة. ويطوي ة في «ه».
#
# الأدوارُ الأربعة:
#   أ = أصليّ: من بنية الكلمة التي هو فيها (جذرُها، أو بنيةُ كلمةٍ لا جذرَ لها
#       كالحروف والضمائر المنفصلة وأسماء الإشارة وفواتح السور)
#   ز = زائدٌ في الوزن: حرفُ زيادةٍ داخلَ البنية الاشتقاقيّة (ألفُ فاعل، ميمُ
#       مفعول، تاءُ افتعل، سينُ استفعل، نونُ انفعل، ياءُ فعيل، همزةُ أفعل…)
#   ل = لاصقةٌ تصريفيّة: علامةٌ ليست كلمة (حرفُ المضارعة، تاءُ التأنيث، ألفُ
#       التأنيث، علاماتُ التثنية والجمع والإعراب بالحروف، نونُ الرفع والوقاية،
#       التنوينُ وذيلُه وألفُه)
#   م = ملتصق: كلمةٌ برأسها كُتبت متّصلة (و ف العطف، ل الجرّ والتوكيد والأمر،
#       س الاستقبال، أل، همزةُ الاستفهام، تاءُ القسم، ها التنبيه، والضمائرُ
#       المتّصلة: ه ها هم كم تم نا ني ي، وتاءُ الفاعل، وواوُ الجماعة وألفُها
#       الفارقة، وألفُ الاثنين، ونونُ النسوة)
#
# الموضعُ في اللفظ بعد تقشيره إلى وحدات: أوّل (الوحدة الأولى، وإليه اللفظُ ذو
# الوحدة الواحدة) · آخر (الوحدة الأخيرة) · وسط (ما بينهما). والحالُ حالُ الوحدة.
# الشدّةُ وحدتان، والتنوينُ وحدتان آخرُهما ذيلُ نونٍ ساكنة؛ فما قبل الذيل وسط.
# والخانةُ الفارغة (—) خانةٌ لا يُتوقَّع فيها الحرف.
#
حرف	موضع	حال	أدوار	شواهد
ت	أوّل	كسرة	أ،ز	تِلْكَ · تِبْيَان
ت	أوّل	سكون	—	—
ت	وسط	فتحة	أ،ز،ل،م	فَتَحَ · اسْتَغْفَرَ · وَتَعْلَمُونَ · رَأَيْتَهُمْ
ت	وسط	ضمة	أ،ز،ل،م	يَتُوبُ · تَفَعُّل · وَتُؤْمِنُونَ · كُنْتُمْ · جَنَّاتٌ
ت	وسط	كسرة	أ،ز،ل،م	يَأْتِيَ · اسْتِغْفَار · جَنَّاتٍ · أَنْتِ
ت	وسط	سكون	أ،ز،ل	يَتْلُو · اتَّقُوا · قَالَتْهُ
ت	آخر	فتحة	أ،م	مَاتَ · أَنْعَمْتَ
ت	آخر	ضمة	أ،ل،م	يَمُوتُ · الصَّالِحَاتُ · قُلْتُ
ت	آخر	كسرة	أ،ل،م	بَيْتِ · الصَّالِحَاتِ · كُنْتِ
ت	آخر	سكون	أ،ل	يَمُتْ · قَالَتْ
ه	أوّل	فتحة	أ،م	هَلْ · هَذَا
ه	أوّل	ضمة	أ	هُدًى · هُوَ
ه	أوّل	كسرة	أ	هِيَ
ه	أوّل	سكون	—	—
ه	وسط	فتحة	أ،ل،م	مَهَّدَ · رَحْمَةً · وَهَذَا
ه	وسط	ضمة	أ،ل،م	وَهُوَ · رَحْمَةٌ · لَهُمْ
ه	وسط	كسرة	أ،ل،م	يَهِنُوا · رَحْمَةٍ · بِهِمْ
ه	وسط	سكون	أ	يَهْدِي
ه	آخر	فتحة	أ،ل	وَجْهَ · رَحْمَةَ
ه	آخر	ضمة	أ،ل،م	اللَّهُ · رَحْمَةُ · أَنْزَلَهُ
ه	آخر	كسرة	أ،ل،م	اللَّهِ · رَحْمَةِ · بِهِ
ه	آخر	سكون	أ،ل،م	مَهْ · مَالِيَهْ · أَرْجِهْ
م	أوّل	فتحة	أ،ز	مَا · مَسْجِد
م	أوّل	ضمة	أ،ز	مُلْك · مُؤْمِن
م	أوّل	كسرة	أ،ز	مِنْ · مِيزَان
م	أوّل	سكون	—	—
م	وسط	فتحة	أ،ز،م	يَمَسُّ · وَمَسَاجِد · هُمَا
م	وسط	ضمة	أ،ز،م	يَعْمُرُ · الْمُؤْمِنُونَ · كُنْتُمُوهُ
م	وسط	كسرة	أ،ز	يَمِيلُ · الْمِيزَان
م	وسط	سكون	أ	أَمْر
م	آخر	فتحة	أ	عَلِمَ · ثُمَّ
م	آخر	ضمة	أ،م	يَعْلَمُ · عَلَيْهِمُ
م	آخر	كسرة	أ	الرَّحِيمِ
م	آخر	سكون	أ،م	لَمْ · لَهُمْ
و	أوّل	فتحة	أ،م	وَعَدَ · وَقَالَ
و	أوّل	ضمة	أ	وُجُوهٌ
و	أوّل	كسرة	أ	وِزْرٌ
و	أوّل	سكون	—	—
و	وسط	فتحة	أ،ز،م	يَوَدُّ · صَوَامِع · أَوَلَمْ
و	وسط	ضمة	أ	لَغْوٌ
و	وسط	كسرة	أ	عِوَضٌ
و	وسط	سكون	أ،ز،ل،م	يَقُولُ · مَغْضُوب · الْمُؤْمِنُونَ · يَعْلَمُونَ
و	آخر	فتحة	أ	هُوَ
و	آخر	ضمة	أ	—
و	آخر	كسرة	أ	لَوِ
و	آخر	سكون	أ،ل	يَدْعُو · ذُو
ن	أوّل	فتحة	أ،ل	نَحْنُ · نَعْبُدُ
ن	أوّل	ضمة	أ،ل	نُورٌ · نُؤْمِنُ
ن	أوّل	كسرة	أ	نِعْمَةٌ
ن	أوّل	سكون	أ	ن
ن	وسط	فتحة	أ،ل،م	يَنَالُ · وَنَعْبُدُ · أَنْزَلْنَاهُ
ن	وسط	ضمة	أ،ل	يَنُصُّ · وَنُؤْمِنُ
ن	وسط	كسرة	أ،ل	عَنِ · إِنَّنِي
ن	وسط	سكون	أ،ز،ل	مِنْكُمْ · انْقَلَبَ · هُدًى
ن	آخر	فتحة	أ،ل،م	كَانَ · الْمُؤْمِنُونَ · يَفْعَلْنَ
ن	آخر	ضمة	أ	نَحْنُ
ن	آخر	كسرة	أ،ل	الدِّينِ · رَجُلَانِ
ن	آخر	سكون	أ،ل	مِنْ · أَحَدٌ
ي	أوّل	فتحة	أ،ل	يَا · يَعْلَمُ
ي	أوّل	ضمة	أ،ل	يُوسُفُ · يُؤْمِنُونَ
ي	أوّل	كسرة	أ	—
ي	أوّل	سكون	—	—
ي	وسط	فتحة	أ،ز،ل	بَيَان · مَفَاتِيحَ · وَيَعْلَمُ
ي	وسط	ضمة	أ،ل	يَيُسُ · وَيُؤْمِنُونَ
ي	وسط	كسرة	أ	قَوِيِ
ي	وسط	سكون	أ،ز،ل،م	قِيلَ · رَحِيم · الْمُؤْمِنِينَ · تَعْلَمِينَ
ي	آخر	فتحة	أ،م	بَقِيَ · رَبِّيَ
ي	آخر	ضمة	أ	—
ي	آخر	كسرة	أ	—
ي	آخر	سكون	أ،ل،م	فِي · ذِي · رَبِّي
ل	أوّل	فتحة	أ،م	لَا · لَكُمْ
ل	أوّل	ضمة	أ	لُوطٌ
ل	أوّل	كسرة	أ،م	لِسَانٌ · لِلَّهِ
ل	أوّل	سكون	—	—
ل	وسط	فتحة	أ،م	قَلَمٌ · فَلَهُ
ل	وسط	ضمة	أ	قُلُوبٌ
ل	وسط	كسرة	أ،م	الْكَلِمَةُ · وَلِكُلٍّ
ل	وسط	سكون	أ،م	قُلْنَا · الْحَمْدُ
ل	آخر	فتحة	أ	قَالَ
ل	آخر	ضمة	أ	يَقُولُ
ل	آخر	كسرة	أ	السَّبِيلِ
ل	آخر	سكون	أ	قُلْ
